iter	Passed	Remaining
0	225	112495
1	440	109601
2	645	106906
3	850	105423
4	1071	106091
5	1278	105254
6	1487	104789
7	1682	103483
8	1877	102417
9	2076	101738
10	2290	101828
11	2517	102361
12	2723	102010
13	2905	100863
14	3135	101368
15	3341	101084
16	3560	101145
17	3769	100936
18	3991	101052
19	4209	101022
20	4416	100738
21	4621	100417
22	4849	100564
23	5058	100333
24	5272	100182
25	5471	99746
26	5672	99368
27	5895	99376
28	6106	99180
29	6342	99365
30	6548	99070
31	6727	98389
32	6932	98104
33	7179	98398
34	7357	97750
35	7580	97703
36	7821	97871
37	8055	97933
38	8328	98444
39	8551	98347
40	8817	98715
41	9055	98746
42	9287	98711
43	9492	98380
44	9719	98278
45	9947	98180
46	10156	97887
47	10373	97685
48	10588	97457
49	10803	97228
50	11021	97029
51	11226	96716
52	11444	96524
53	11667	96366
54	11882	96139
55	12097	95917
56	12308	95659
57	12505	95302
58	12723	95103
59	12923	94775
60	13142	94585
61	13353	94339
62	13553	94011
63	13771	93821
64	13980	93558
65	14170	93180
66	14380	92935
67	14570	92567
68	14756	92175
69	14975	91991
70	15191	91791
71	15412	91618
72	15630	91425
73	15879	91412
74	16108	91284
75	16344	91184
76	16566	91009
77	16800	90896
78	17040	90811
79	17309	90876
80	17541	90740
81	17776	90616
82	18003	90453
83	18218	90222
84	18428	89974
85	18642	89744
86	18879	89621
87	19079	89325
88	19288	89073
89	19501	88842
90	19709	88584
91	19922	88353
92	20122	88064
93	20315	87745
94	20538	87560
95	20738	87275
96	20965	87103
97	21177	86872
98	21393	86653
99	21600	86401
100	21817	86191
101	21963	85701
102	22116	85243
103	22277	84825
104	22441	84424
105	22620	84079
106	22842	83897
107	23041	83633
108	23306	83605
109	23538	83455
110	23767	83291
111	23968	83034
112	24182	82820
113	24384	82565
114	24584	82305
115	24699	81764
116	24834	81295
117	24976	80855
118	25206	80703
119	25389	80400
120	25610	80218
121	25822	80007
122	26029	79781
123	26250	79597
124	26477	79431
125	26636	79063
126	26853	78870
127	27065	78659
128	27241	78345
129	27452	78133
130	27622	77806
131	27799	77502
132	27982	77215
133	28160	76915
134	28332	76603
135	28520	76334
136	28705	76057
137	28884	75768
138	29065	75487
139	29241	75191
140	29406	74871
141	29595	74613
142	29769	74320
143	29945	74033
144	30105	73706
145	30288	73439
146	30455	73133
147	30624	72835
148	30799	72553
149	30957	72233
150	31149	71993
151	31355	71788
152	31577	71617
153	31767	71374
154	31995	71216
155	32168	70934
156	32336	70645
157	32513	70378
158	32688	70105
159	32840	69787
160	33005	69496
161	33177	69221
162	33338	68927
163	33511	68657
164	33686	68393
165	33844	68097
166	34002	67800
167	34177	67541
168	34354	67285
169	34513	66996
170	34678	66720
171	34845	66449
172	35007	66170
173	35183	65918
174	35357	65664
175	35521	65390
176	35705	65157
177	35893	64930
178	36073	64690
179	36255	64455
180	36451	64244
181	36634	64010
182	36818	63778
183	37009	63559
184	37182	63310
185	37354	63060
186	37556	62861
187	37720	62599
188	37854	62289
189	37984	61974
190	38149	61718
191	38323	61477
192	38497	61236
193	38678	61009
194	38842	60753
195	39009	60503
196	39185	60269
197	39358	60031
198	39535	59800
199	39707	59561
200	39880	59325
201	40053	59088
202	40223	58849
203	40406	58629
204	40584	58401
205	40752	58162
206	40927	57930
207	41099	57696
208	41264	57454
209	41446	57236
210	41623	57010
211	41793	56776
212	41960	56538
213	42134	56310
214	42313	56089
215	42483	55857
216	42657	55631
217	42838	55415
218	42999	55173
219	43178	54954
220	43348	54725
221	43520	54498
222	43703	54285
223	43880	54067
224	44053	53842
225	44231	53625
226	44403	53401
227	44568	53169
228	44734	52939
229	44919	52732
230	45101	52520
231	45276	52301
232	45460	52093
233	45620	51858
234	45801	51648
235	45980	51435
236	46155	51219
237	46313	50984
238	46487	50766
239	46650	50537
240	46808	50304
241	46980	50086
242	47163	49880
243	47346	49675
244	47525	49465
245	47721	49273
246	47899	49062
247	48070	48845
248	48252	48640
249	48428	48428
250	48591	48204
251	48769	47995
252	48939	47778
253	49107	47560
254	49273	47341
255	49460	47141
256	49629	46925
257	49786	46698
258	49961	46489
259	50129	46273
260	50299	46059
261	50481	45857
262	50647	45640
263	50814	45425
264	50983	45211
265	51160	45005
266	51326	44790
267	51507	44588
268	51692	44390
269	51861	44177
270	52028	43964
271	52200	43755
272	52373	43548
273	52553	43347
274	52721	43136
275	52895	42929
276	53060	42716
277	53229	42506
278	53411	42308
279	53589	42105
280	53754	41893
281	53932	41692
282	54100	41483
283	54265	41272
284	54448	41075
285	54622	40871
286	54784	40659
287	54955	40453
288	55131	40251
289	55324	40062
290	55515	39871
291	55732	39699
292	55964	39538
293	56210	39385
294	56408	39198
295	56602	39010
296	56804	38825
297	57000	38638
298	57183	38441
299	57368	38245
300	57532	38036
301	57699	37829
302	57906	37648
303	58072	37441
304	58244	37238
305	58421	37038
306	58601	36840
307	58769	36635
308	58945	36435
309	59111	36229
310	59283	36027
311	59457	35827
312	59636	35629
313	59816	35432
314	59987	35230
315	60170	35035
316	60342	34834
317	60509	34631
318	60681	34430
319	60868	34238
320	61046	34041
321	61214	33839
322	61388	33640
323	61555	33437
324	61719	33233
325	61905	33041
326	62081	32844
327	62244	32640
328	62426	32446
329	62593	32245
330	62757	32042
331	62936	31847
332	63124	31657
333	63295	31458
334	63461	31257
335	63633	31059
336	63796	30856
337	63969	30660
338	64150	30466
339	64333	30274
340	64500	30075
341	64679	29881
342	64848	29682
343	65022	29487
344	65201	29293
345	65376	29098
346	65545	28900
347	65722	28706
348	65886	28506
349	66056	28309
350	66225	28112
351	66410	27922
352	66584	27727
353	66749	27529
